,index,name,x_coord,y_midpoint,geometry,orig_length,orig_geom,masked_geom,masked_length,hull_trimmed,trimmed_length,frac_to_frac_length,p10_frac,p10_trimmed
0,0,scan_v1_seg_1,0.38954650419810866,-9.054578429580264,LINESTRING EMPTY,0.9999999999999964,"LINESTRING (0.3895465041981087 -9.554578429580262, 0.3895465041981087 -8.554578429580266)","LINESTRING Z (0.3895465041981087 -9.554578429580262 0, 0.3895465041981087 -9.553009807079544 0)",0.0015686225007183197,LINESTRING EMPTY,0.0,,,
1,1,scan_v1_seg_2,0.38954650419810866,-8.954578429580264,GEOMETRYCOLLECTION EMPTY,0.9999999999999964,"LINESTRING (0.3895465041981087 -9.454578429580263, 0.3895465041981087 -8.454578429580266)",GEOMETRYCOLLECTION EMPTY,0.0,GEOMETRYCOLLECTION EMPTY,0.0,,,
2,2,scan_v1_seg_3,0.38954650419810866,-8.854578429580265,GEOMETRYCOLLECTION EMPTY,0.9999999999999964,"LINESTRING (0.3895465041981087 -9.354578429580263, 0.3895465041981087 -8.354578429580267)",GEOMETRYCOLLECTION EMPTY,0.0,GEOMETRYCOLLECTION EMPTY,0.0,,,
3,3,scan_v1_seg_4,0.38954650419810866,-8.754578429580265,GEOMETRYCOLLECTION EMPTY,0.9999999999999964,"LINESTRING (0.3895465041981087 -9.254578429580263, 0.3895465041981087 -8.254578429580267)",GEOMETRYCOLLECTION EMPTY,0.0,GEOMETRYCOLLECTION EMPTY,0.0,,,
4,4,scan_v1_seg_5,0.38954650419810866,-8.654578429580265,GEOMETRYCOLLECTION EMPTY,0.9999999999999964,"LINESTRING (0.3895465041981087 -9.154578429580264, 0.3895465041981087 -8.154578429580267)",GEOMETRYCOLLECTION EMPTY,0.0,GEOMETRYCOLLECTION EMPTY,0.0,,,
5,5,scan_v1_seg_6,0.38954650419810866,-8.554578429580266,GEOMETRYCOLLECTION EMPTY,0.9999999999999964,"LINESTRING (0.3895465041981087 -9.054578429580264, 0.3895465041981087 -8.054578429580268)",GEOMETRYCOLLECTION EMPTY,0.0,GEOMETRYCOLLECTION EMPTY,0.0,,,
6,6,scan_v1_seg_7,0.38954650419810866,-8.454578429580266,GEOMETRYCOLLECTION EMPTY,0.9999999999999964,"LINESTRING (0.3895465041981087 -8.954578429580264, 0.3895465041981087 -7.954578429580268)",GEOMETRYCOLLECTION EMPTY,0.0,GEOMETRYCOLLECTION EMPTY,0.0,,,
7,7,scan_v1_seg_8,0.38954650419810866,-8.354578429580267,GEOMETRYCOLLECTION EMPTY,0.9999999999999964,"LINESTRING (0.3895465041981087 -8.854578429580265, 0.3895465041981087 -7.854578429580268)",GEOMETRYCOLLECTION EMPTY,0.0,GEOMETRYCOLLECTION EMPTY,0.0,,,
8,8,scan_v1_seg_9,0.38954650419810866,-8.254578429580267,GEOMETRYCOLLECTION EMPTY,0.9999999999999964,"LINESTRING (0.3895465041981087 -8.754578429580265, 0.3895465041981087 -7.754578429580269)",GEOMETRYCOLLECTION EMPTY,0.0,GEOMETRYCOLLECTION EMPTY,0.0,,,
9,9,scan_v1_seg_10,0.38954650419810866,-8.154578429580267,GEOMETRYCOLLECTION EMPTY,0.9999999999999964,"LINESTRING (0.3895465041981087 -8.654578429580265, 0.3895465041981087 -7.654578429580269)",GEOMETRYCOLLECTION EMPTY,0.0,GEOMETRYCOLLECTION EMPTY,0.0,,,
10,10,scan_v1_seg_11,0.38954650419810866,-8.054578429580268,GEOMETRYCOLLECTION EMPTY,0.9999999999999964,"LINESTRING (0.3895465041981087 -8.554578429580266, 0.3895465041981087 -7.554578429580269)",GEOMETRYCOLLECTION EMPTY,0.0,GEOMETRYCOLLECTION EMPTY,0.0,,,
11,11,scan_v1_seg_12,0.38954650419810866,-7.954578429580268,GEOMETRYCOLLECTION EMPTY,0.9999999999999964,"LINESTRING (0.3895465041981087 -8.454578429580266, 0.3895465041981087 -7.45457842958027)",GEOMETRYCOLLECTION EMPTY,0.0,GEOMETRYCOLLECTION EMPTY,0.0,,,
12,12,scan_v1_seg_13,0.38954650419810866,-7.854578429580268,GEOMETRYCOLLECTION EMPTY,0.9999999999999964,"LINESTRING (0.3895465041981087 -8.354578429580267, 0.3895465041981087 -7.35457842958027)",GEOMETRYCOLLECTION EMPTY,0.0,GEOMETRYCOLLECTION EMPTY,0.0,,,
13,13,scan_v1_seg_14,0.38954650419810866,-7.754578429580269,GEOMETRYCOLLECTION EMPTY,0.9999999999999964,"LINESTRING (0.3895465041981087 -8.254578429580267, 0.3895465041981087 -7.25457842958027)",GEOMETRYCOLLECTION EMPTY,0.0,GEOMETRYCOLLECTION EMPTY,0.0,,,
14,14,scan_v1_seg_15,0.38954650419810866,-7.654578429580269,GEOMETRYCOLLECTION EMPTY,0.9999999999999964,"LINESTRING (0.3895465041981087 -8.154578429580267, 0.3895465041981087 -7.154578429580271)",GEOMETRYCOLLECTION EMPTY,0.0,GEOMETRYCOLLECTION EMPTY,0.0,,,
15,15,scan_v1_seg_16,0.38954650419810866,-7.554578429580269,GEOMETRYCOLLECTION EMPTY,0.9999999999999964,"LINESTRING (0.3895465041981087 -8.054578429580268, 0.3895465041981087 -7.054578429580271)",GEOMETRYCOLLECTION EMPTY,0.0,GEOMETRYCOLLECTION EMPTY,0.0,,,
16,16,scan_v1_seg_17,0.38954650419810866,-7.45457842958027,GEOMETRYCOLLECTION EMPTY,0.9999999999999964,"LINESTRING (0.3895465041981087 -7.954578429580268, 0.3895465041981087 -6.954578429580272)",GEOMETRYCOLLECTION EMPTY,0.0,GEOMETRYCOLLECTION EMPTY,0.0,,,
17,17,scan_v1_seg_18,0.38954650419810866,-7.35457842958027,GEOMETRYCOLLECTION EMPTY,0.9999999999999964,"LINESTRING (0.3895465041981087 -7.854578429580268, 0.3895465041981087 -6.854578429580272)",GEOMETRYCOLLECTION EMPTY,0.0,GEOMETRYCOLLECTION EMPTY,0.0,,,
18,18,scan_v1_seg_19,0.38954650419810866,-7.25457842958027,GEOMETRYCOLLECTION EMPTY,0.9999999999999964,"LINESTRING (0.3895465041981087 -7.754578429580269, 0.3895465041981087 -6.754578429580272)",GEOMETRYCOLLECTION EMPTY,0.0,GEOMETRYCOLLECTION EMPTY,0.0,,,
19,19,scan_v1_seg_20,0.38954650419810866,-7.154578429580271,GEOMETRYCOLLECTION EMPTY,0.9999999999999964,"LINESTRING (0.3895465041981087 -7.654578429580269, 0.3895465041981087 -6.654578429580273)",GEOMETRYCOLLECTION EMPTY,0.0,GEOMETRYCOLLECTION EMPTY,0.0,,,
20,20,scan_v1_seg_21,0.38954650419810866,-7.054578429580271,GEOMETRYCOLLECTION EMPTY,0.9999999999999964,"LINESTRING (0.3895465041981087 -7.554578429580269, 0.3895465041981087 -6.554578429580273)",GEOMETRYCOLLECTION EMPTY,0.0,GEOMETRYCOLLECTION EMPTY,0.0,,,
21,21,scan_v1_seg_22,0.38954650419810866,-6.9545784295802715,GEOMETRYCOLLECTION EMPTY,0.9999999999999964,"LINESTRING (0.3895465041981087 -7.45457842958027, 0.3895465041981087 -6.454578429580273)",GEOMETRYCOLLECTION EMPTY,0.0,GEOMETRYCOLLECTION EMPTY,0.0,,,
22,22,scan_v1_seg_23,0.38954650419810866,-6.854578429580272,GEOMETRYCOLLECTION EMPTY,0.9999999999999964,"LINESTRING (0.3895465041981087 -7.35457842958027, 0.3895465041981087 -6.354578429580274)",GEOMETRYCOLLECTION EMPTY,0.0,GEOMETRYCOLLECTION EMPTY,0.0,,,
23,23,scan_v1_seg_24,0.38954650419810866,-6.754578429580272,LINESTRING EMPTY,0.9999999999999964,"LINESTRING (0.3895465041981087 -7.25457842958027, 0.3895465041981087 -6.254578429580274)","LINESTRING Z (0.3895465041981087 -6.295646698330846 0, 0.3895465041981087 -6.254578429580274 0)",0.04106826875057212,LINESTRING EMPTY,0.0,,,
24,24,scan_v1_seg_25,0.38954650419810866,-6.654578429580273,"LINESTRING Z (0.3895465041981087 -6.198965032068225 0, 0.3895465041981087 -6.154578429580274 0)",0.9999999999999964,"LINESTRING (0.3895465041981087 -7.154578429580271, 0.3895465041981087 -6.154578429580274)","LINESTRING Z (0.3895465041981087 -6.295646698330846 0, 0.3895465041981087 -6.154578429580274 0)",0.14106826875057177,"LINESTRING Z (0.3895465041981087 -6.198965032068225 0, 0.3895465041981087 -6.154578429580274 0)",0.044386602487950455,,,0.0
25,25,scan_v1_seg_26,0.38954650419810866,-6.554578429580273,"LINESTRING Z (0.3895465041981087 -6.198965032068225 0, 0.3895465041981087 -6.054578429580275 0)",0.9999999999999964,"LINESTRING (0.3895465041981087 -7.054578429580271, 0.3895465041981087 -6.054578429580275)","LINESTRING Z (0.3895465041981087 -6.295646698330846 0, 0.3895465041981087 -6.054578429580275 0)",0.2410682687505714,"LINESTRING Z (0.3895465041981087 -6.198965032068225 0, 0.3895465041981087 -6.054578429580275 0)",0.1443866024879501,,,0.0
26,26,scan_v1_seg_27,0.38954650419810866,-6.454578429580273,"LINESTRING Z (0.3895465041981087 -6.198965032068225 0, 0.3895465041981087 -5.954578429580275 0)",0.9999999999999964,"LINESTRING (0.3895465041981087 -6.954578429580272, 0.3895465041981087 -5.954578429580275)","LINESTRING Z (0.3895465041981087 -6.295646698330846 0, 0.3895465041981087 -5.954578429580275 0)",0.34106826875057106,"LINESTRING Z (0.3895465041981087 -6.198965032068225 0, 0.3895465041981087 -5.954578429580275 0)",0.24438660248794974,,,0.0
27,27,scan_v1_seg_28,0.38954650419810866,-6.354578429580274,"LINESTRING Z (0.3895465041981087 -6.198965032068225 0, 0.3895465041981087 -5.854578429580275 0)",0.9999999999999964,"LINESTRING (0.3895465041981087 -6.854578429580272, 0.3895465041981087 -5.854578429580275)","LINESTRING Z (0.3895465041981087 -6.295646698330846 0, 0.3895465041981087 -5.854578429580275 0)",0.4410682687505707,"LINESTRING Z (0.3895465041981087 -6.198965032068225 0, 0.3895465041981087 -5.854578429580275 0)",0.3443866024879494,,,0.0
28,28,scan_v1_seg_29,0.38954650419810866,-6.254578429580274,"LINESTRING Z (0.3895465041981087 -6.198965032068225 0, 0.3895465041981087 -5.754578429580276 0)",0.9999999999999964,"LINESTRING (0.3895465041981087 -6.754578429580272, 0.3895465041981087 -5.754578429580276)","LINESTRING Z (0.3895465041981087 -6.295646698330846 0, 0.3895465041981087 -5.754578429580276 0)",0.5410682687505703,"LINESTRING Z (0.3895465041981087 -6.198965032068225 0, 0.3895465041981087 -5.754578429580276 0)",0.44438660248794903,,,0.0
29,29,scan_v1_seg_30,0.38954650419810866,-6.154578429580274,"LINESTRING Z (0.3895465041981087 -6.198965032068225 0, 0.3895465041981087 -5.654578429580276 0)",0.9999999999999964,"LINESTRING (0.3895465041981087 -6.654578429580273, 0.3895465041981087 -5.654578429580276)","LINESTRING Z (0.3895465041981087 -6.295646698330846 0, 0.3895465041981087 -5.654578429580276 0)",0.64106826875057,"LINESTRING Z (0.3895465041981087 -6.198965032068225 0, 0.3895465041981087 -5.654578429580276 0)",0.5443866024879487,,,0.0
30,30,scan_v1_seg_31,0.38954650419810866,-6.054578429580275,"LINESTRING Z (0.3895465041981087 -6.198965032068225 0, 0.3895465041981087 -5.554578429580276 0)",0.9999999999999964,"LINESTRING (0.3895465041981087 -6.554578429580273, 0.3895465041981087 -5.554578429580276)","LINESTRING Z (0.3895465041981087 -6.295646698330846 0, 0.3895465041981087 -5.554578429580276 0)",0.7410682687505696,"LINESTRING Z (0.3895465041981087 -6.198965032068225 0, 0.3895465041981087 -5.554578429580276 0)",0.6443866024879483,,,0.0
31,31,scan_v1_seg_32,0.38954650419810866,-5.954578429580275,"LINESTRING Z (0.3895465041981087 -6.198965032068225 0, 0.3895465041981087 -5.454578429580277 0)",0.9999999999999964,"LINESTRING (0.3895465041981087 -6.454578429580273, 0.3895465041981087 -5.454578429580277)","LINESTRING Z (0.3895465041981087 -6.295646698330846 0, 0.3895465041981087 -5.454578429580277 0)",0.8410682687505693,"LINESTRING Z (0.3895465041981087 -6.198965032068225 0, 0.3895465041981087 -5.454578429580277 0)",0.744386602487948,,,0.0
32,32,scan_v1_seg_33,0.38954650419810866,-5.854578429580275,"LINESTRING Z (0.3895465041981087 -6.198965032068225 0, 0.3895465041981087 -5.354578429580277 0)",0.9999999999999964,"LINESTRING (0.3895465041981087 -6.354578429580274, 0.3895465041981087 -5.354578429580277)","LINESTRING Z (0.3895465041981087 -6.295646698330846 0, 0.3895465041981087 -5.354578429580277 0)",0.9410682687505689,"LINESTRING Z (0.3895465041981087 -6.198965032068225 0, 0.3895465041981087 -5.354578429580277 0)",0.8443866024879476,,,0.0
33,33,scan_v1_seg_34,0.38954650419810866,-5.754578429580276,"LINESTRING Z (0.3895465041981087 -6.198965032068225 0, 0.3895465041981087 -5.254578429580278 0)",0.9999999999999964,"LINESTRING (0.3895465041981087 -6.254578429580274, 0.3895465041981087 -5.254578429580278)","LINESTRING Z (0.3895465041981087 -6.254578429580274 0, 0.3895465041981087 -5.254578429580278 0)",0.9999999999999964,"LINESTRING Z (0.3895465041981087 -6.198965032068225 0, 0.3895465041981087 -5.254578429580278 0)",0.9443866024879473,,,0.0
34,34,scan_v1_seg_35,0.38954650419810866,-5.654578429580276,"LINESTRING Z (0.3895465041981087 -6.154578429580274 0, 0.3895465041981087 -5.154578429580278 0)",0.9999999999999964,"LINESTRING (0.3895465041981087 -6.154578429580274, 0.3895465041981087 -5.154578429580278)","LINESTRING Z (0.3895465041981087 -6.154578429580274 0, 0.3895465041981087 -5.154578429580278 0)",0.9999999999999964,"LINESTRING Z (0.3895465041981087 -6.154578429580274 0, 0.3895465041981087 -5.154578429580278 0)",0.9999999999999964,,,0.0
35,35,scan_v1_seg_36,0.38954650419810866,-5.5545784295802765,"LINESTRING Z (0.3895465041981087 -6.054578429580275 0, 0.3895465041981087 -5.054578429580278 0)",0.9999999999999964,"LINESTRING (0.3895465041981087 -6.054578429580275, 0.3895465041981087 -5.054578429580278)","LINESTRING Z (0.3895465041981087 -6.054578429580275 0, 0.3895465041981087 -5.054578429580278 0)",0.9999999999999964,"LINESTRING Z (0.3895465041981087 -6.054578429580275 0, 0.3895465041981087 -5.054578429580278 0)",0.9999999999999964,,,0.0
36,36,scan_v1_seg_37,0.38954650419810866,-5.454578429580277,"LINESTRING Z (0.3895465041981087 -5.954578429580275 0, 0.3895465041981087 -4.954578429580279 0)",0.9999999999999964,"LINESTRING (0.3895465041981087 -5.954578429580275, 0.3895465041981087 -4.954578429580279)","LINESTRING Z (0.3895465041981087 -5.954578429580275 0, 0.3895465041981087 -4.954578429580279 0)",0.9999999999999964,"LINESTRING Z (0.3895465041981087 -5.954578429580275 0, 0.3895465041981087 -4.954578429580279 0)",0.9999999999999964,,,0.0
37,37,scan_v1_seg_38,0.38954650419810866,-5.354578429580277,"LINESTRING Z (0.3895465041981087 -5.854578429580275 0, 0.3895465041981087 -4.854578429580279 0)",0.9999999999999964,"LINESTRING (0.3895465041981087 -5.854578429580275, 0.3895465041981087 -4.854578429580279)","LINESTRING Z (0.3895465041981087 -5.854578429580275 0, 0.3895465041981087 -4.854578429580279 0)",0.9999999999999964,"LINESTRING Z (0.3895465041981087 -5.854578429580275 0, 0.3895465041981087 -4.854578429580279 0)",0.9999999999999964,,,0.0
38,38,scan_v1_seg_39,0.38954650419810866,-5.2545784295802775,"LINESTRING Z (0.3895465041981087 -5.754578429580276 0, 0.3895465041981087 -4.754578429580279 0)",0.9999999999999964,"LINESTRING (0.3895465041981087 -5.754578429580276, 0.3895465041981087 -4.754578429580279)","LINESTRING Z (0.3895465041981087 -5.754578429580276 0, 0.3895465041981087 -4.754578429580279 0)",0.9999999999999964,"LINESTRING Z (0.3895465041981087 -5.754578429580276 0, 0.3895465041981087 -4.754578429580279 0)",0.9999999999999964,,,0.0
39,39,scan_v1_seg_40,0.38954650419810866,-5.154578429580278,"LINESTRING Z (0.3895465041981087 -5.654578429580276 0, 0.3895465041981087 -4.65457842958028 0)",0.9999999999999964,"LINESTRING (0.3895465041981087 -5.654578429580276, 0.3895465041981087 -4.65457842958028)","LINESTRING Z (0.3895465041981087 -5.654578429580276 0, 0.3895465041981087 -4.65457842958028 0)",0.9999999999999964,"LINESTRING Z (0.3895465041981087 -5.654578429580276 0, 0.3895465041981087 -4.65457842958028 0)",0.9999999999999964,,,0.0
