,index,name,x_coord,y_midpoint,orig_length,masked_length,p10_masked
0,0,scan_v1_seg_1,0.44893718435447005,-9.054578429580262,1.0,0.0015686225007183197,0.0
1,1,scan_v1_seg_2,0.44893718435447005,-8.054578429580262,1.0,0.0,
2,2,scan_v1_seg_3,0.44893718435447005,-7.054578429580262,1.0,0.0,
3,3,scan_v1_seg_4,0.44893718435447005,-6.054578429580262,1.0,0.7586080522455712,0.0
4,4,scan_v1_seg_5,0.44893718435447005,-5.054578429580262,1.0,1.0,0.0
5,5,scan_v1_seg_6,0.44893718435447005,-4.054578429580262,1.0,1.0,0.0
6,6,scan_v1_seg_7,0.44893718435447005,-3.0545784295802623,1.0,1.0,1.0
7,0,scan_v2_seg_1,0.94893718435447,-9.054578429580262,1.0,0.0015686225007183197,0.0
8,1,scan_v2_seg_2,0.94893718435447,-8.054578429580262,1.0,0.0,
9,2,scan_v2_seg_3,0.94893718435447,-7.054578429580262,1.0,0.0,
10,3,scan_v2_seg_4,0.94893718435447,-6.054578429580262,1.0,0.735461833134786,1.3596898641737305
11,4,scan_v2_seg_5,0.94893718435447,-5.054578429580262,1.0,1.0,0.0
12,5,scan_v2_seg_6,0.94893718435447,-4.054578429580262,1.0,1.0,0.0
13,6,scan_v2_seg_7,0.94893718435447,-3.0545784295802623,1.0,1.0,1.0
14,0,scan_v3_seg_1,1.44893718435447,-9.054578429580262,1.0,0.0015686225007183197,0.0
15,1,scan_v3_seg_2,1.44893718435447,-8.054578429580262,1.0,0.0,
16,2,scan_v3_seg_3,1.44893718435447,-7.054578429580262,1.0,0.1622886106126451,0.0
17,3,scan_v3_seg_4,1.44893718435447,-6.054578429580262,1.0,1.0,0.0
18,4,scan_v3_seg_5,1.44893718435447,-5.054578429580262,1.0,1.0,0.0
19,5,scan_v3_seg_6,1.44893718435447,-4.054578429580262,1.0,1.0,0.0
20,6,scan_v3_seg_7,1.44893718435447,-3.0545784295802623,1.0,1.0,1.0
21,0,scan_v4_seg_1,1.94893718435447,-9.054578429580262,1.0,0.0015686225007183197,0.0
22,1,scan_v4_seg_2,1.94893718435447,-8.054578429580262,1.0,0.0,
23,2,scan_v4_seg_3,1.94893718435447,-7.054578429580262,1.0,0.1664654426542871,0.0
24,3,scan_v4_seg_4,1.94893718435447,-6.054578429580262,1.0,1.0,1.0
25,4,scan_v4_seg_5,1.94893718435447,-5.054578429580262,1.0,1.0,0.0
26,5,scan_v4_seg_6,1.94893718435447,-4.054578429580262,1.0,1.0,1.0
27,6,scan_v4_seg_7,1.94893718435447,-3.0545784295802623,1.0,1.0,0.0
28,0,scan_v5_seg_1,2.4489371843544703,-9.054578429580262,1.0,0.0015686225007183197,0.0
29,1,scan_v5_seg_2,2.4489371843544703,-8.054578429580262,1.0,0.0,
30,2,scan_v5_seg_3,2.4489371843544703,-7.054578429580262,1.0,0.2731230634920063,0.0
31,3,scan_v5_seg_4,2.4489371843544703,-6.054578429580262,1.0,1.0,0.0
32,4,scan_v5_seg_5,2.4489371843544703,-5.054578429580262,1.0,1.0,2.0
33,5,scan_v5_seg_6,2.4489371843544703,-4.054578429580262,1.0,1.0,0.0
34,6,scan_v5_seg_7,2.4489371843544703,-3.0545784295802623,1.0,1.0,3.0
35,0,scan_v6_seg_1,2.9489371843544703,-9.054578429580262,1.0,0.0015686225007183197,0.0
36,1,scan_v6_seg_2,2.9489371843544703,-8.054578429580262,1.0,0.0,
37,2,scan_v6_seg_3,2.9489371843544703,-7.054578429580262,1.0,0.3101270270098633,0.0
38,3,scan_v6_seg_4,2.9489371843544703,-6.054578429580262,1.0,1.0,1.0
39,4,scan_v6_seg_5,2.9489371843544703,-5.054578429580262,1.0,1.0,1.0
40,5,scan_v6_seg_6,2.9489371843544703,-4.054578429580262,1.0,1.0,1.0
41,6,scan_v6_seg_7,2.9489371843544703,-3.0545784295802623,1.0,1.0,0.0
42,0,scan_v7_seg_1,3.4489371843544703,-9.054578429580262,1.0,0.0015686225007183197,0.0
43,1,scan_v7_seg_2,3.4489371843544703,-8.054578429580262,1.0,0.0,
44,2,scan_v7_seg_3,3.4489371843544703,-7.054578429580262,1.0,0.253273769318497,0.0
45,3,scan_v7_seg_4,3.4489371843544703,-6.054578429580262,1.0,1.0,0.0
46,4,scan_v7_seg_5,3.4489371843544703,-5.054578429580262,1.0,1.0,1.0
47,5,scan_v7_seg_6,3.4489371843544703,-4.054578429580262,1.0,1.0,1.0
48,6,scan_v7_seg_7,3.4489371843544703,-3.0545784295802623,1.0,1.0,0.0
49,0,scan_v8_seg_1,3.9489371843544703,-9.054578429580262,1.0,0.0015686225007183197,0.0
50,1,scan_v8_seg_2,3.9489371843544703,-8.054578429580262,1.0,0.0,
51,2,scan_v8_seg_3,3.9489371843544703,-7.054578429580262,1.0,0.36239443182886966,0.0
52,3,scan_v8_seg_4,3.9489371843544703,-6.054578429580262,1.0,1.0,0.0
53,4,scan_v8_seg_5,3.9489371843544703,-5.054578429580262,1.0,1.0,2.0
54,5,scan_v8_seg_6,3.9489371843544703,-4.054578429580262,1.0,1.0,0.0
55,6,scan_v8_seg_7,3.9489371843544703,-3.0545784295802623,1.0,1.0,0.0
